Proposal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,Research Body,Proposal Title,Start Date,End Date,Funding
11/PI/1005,SFI Principal Investigator Programme,,,Cormac Taylor,University College Dublin (UCD),Regulation of inflammatory gene expression during hypoxic inflammation.,06/01/2012,5/31/2018,1151739
11/PI/1014,SFI Principal Investigator Programme,,,Marina Lynch,Trinity College Dublin (TCD),Modulating microglial function and its impact on neuronal function,10/01/2012,12/31/2016,1483870
11/PI/1020,SFI Principal Investigator Programme,,,Uri Frank,"National University of Ireland, Galway (NUIG)",Stem cell fate in Hydractinia: a marine cnidarian,09/01/2012,12/31/2018,984519
11/PI/1026,SFI Principal Investigator Programme,,,James Gleeson,University of Limerick (UL),Modelling dynamics on complex networks,04/01/2012,9/30/2016,738481
11/PI/1027,SFI Principal Investigator Programme,,,Finbarr O'Sullivan,University College Cork (UCC),Statistical Methods for Molecular Imaging of Cancer with PET,10/01/2012,5/31/2019,1427771
11/PI/1034,SFI Principal Investigator Programme,,,Desmond Higgins,University College Dublin (UCD),Clustal Omega and the future of Multiple Alignments,07/01/2012,6/30/2018,1236857
11/PI/1036,SFI Principal Investigator Programme,,,Kingston Mills,Trinity College Dublin (TCD),New immunotherapeutic approaches based on the Th1/Th17 axis and its regulation,10/01/2012,12/31/2017,2820202
11/PI/1037,SFI Principal Investigator Programme,,,Oliver Blacque,University College Dublin (UCD),"Dissecting secretory and endocytic membrane transport pathways in targeting proteins to cilia, a prevalent disease-associated cellular organelle",04/01/2012,12/31/2017,1023218
11/PI/1048,SFI Principal Investigator Programme,,,Hans-Benjamin Braun,University College Dublin (UCD),Physics behind next generation magnetic storage technologies,04/01/2012,12/31/2018,1142934
11/PI/1056,SFI Principal Investigator Programme,,,Andrew Bowie,Trinity College Dublin (TCD),Sensing and signalling in anti-viral innate immunity,07/01/2012,11/30/2017,1840730
11/PI/1066,SFI Principal Investigator Programme,,,James O'Donnell,Trinity College Dublin (TCD),Defining the molecular mechanisms responsible for clearance of the von Willebrand factor - factor VIII complex ,04/01/2012,9/30/2016,1129687
11/PI/1071(X),SFI Principal Investigator Programme,,,Donal O'Shea,University College Dublin (UCD),BF2-Tetraarylazadipyrromethene Based Stimuli-Responsive Near-Infrared Fluorescent Imaging Platforms,04/01/2012,3/31/2016,193418
11/PI/1080,SFI Principal Investigator Programme,,,Peter Humphries,Trinity College Dublin (TCD),On Prevention of Degenerative Retinopathies,08/01/2012,7/31/2017,2437034
11/PI/1087,SFI Principal Investigator Programme,,,Jonathan Coleman,Trinity College Dublin (TCD),2D atomic crystal-nanoconductor hybrids: High conductivity nano-structured materials for energy applications,10/01/2012,9/30/2017,1075960
11/PI/1103,SFI Principal Investigator Programme,,,Jennifer McElwain,University College Dublin (UCD),Predicting biome-level vegetation responses to future global change: Implications for future flood risk,03/01/2012,2/28/2018,1042044
11/PI/1105,SFI Principal Investigator Programme,,,Hongzhou Zhang,Trinity College Dublin (TCD),Helium-ion microscopy for graphene-based nanodevices,04/01/2012,3/31/2017,607852
11/PI/1108,SFI Principal Investigator Programme,,,Hugh J. Byrne,Technological University Dublin (TU Dublin),Advancing Vibrational Spectroscopy for Cellular and Sub Cellular Analysis,04/01/2012,7/31/2018,1033707
11/PI/1117,SFI Principal Investigator Programme,,,Martyn Pemble,Tyndall National Institute (TNI),New Materials and Devices for Optical Applications via the use of Hybrid Technologies: Colloidal Crystallisation and Advanced Thin Film Deposition,04/02/2012,10/01/2016,1757965
11/PI/1119,SFI Principal Investigator Programme,,,Helen Roche,University College Dublin (UCD),Dietary fatty acids: impact on inflammasome driven adipose inflammation and insulin resistance – novel therapeutic targets,01/01/2012,6/30/2017,990514
11/PI/1128,SFI Principal Investigator Programme,,,Paul Cahill,Dublin City University (DCU),Notch signaling and Vascular Remodeling - a Novel target for Therapeutic Intervention,03/01/2012,2/28/2017,857728
11/PI/1137,SFI Principal Investigator Programme,,,Paul Cotter,Teagasc,Obesibiotics,03/01/2012,2/28/2018,1163002
11/PI/1139,SFI Principal Investigator Programme,,,Rosemary O'Connor,University College Cork (UCC),IGF-I Receptor signalling and regulation,04/01/2012,6/30/2017,1597595
11/PI/1148,SFI Principal Investigator Programme,,,Kevin M Ryan,University of Limerick (UL),"Growth, Oriented Attachment and Large scale Vertical Assembly of Ternary and Quaternary Semiconductor Nanorods for Low Cost Photovoltaics",03/01/2012,8/31/2018,875623
11/PI/1152,SFI Principal Investigator Programme,,,Niall Smith,Munster Technological University (MTU),Frequency Combs Generated by Semiconductor Lasers for Metrology And Telecommunications,09/01/2012,2/28/2017,811758
11/PI/1166,SFI Principal Investigator Programme,,,Emmeline Hill,University College Dublin (UCD),Integrated genomics approaches to understanding genetic contributions to system-wide exercise physiology parameters in a large animal model.,04/01/2012,3/31/2019,1762757
11/PI/1177(X),SFI Principal Investigator Programme,,,Doug Leith,"National University of Ireland, Maynooth (NUIM)",Green Transport & Communication Networks,08/01/2012,11/30/2014,1129169
11/PI/1188,SFI Principal Investigator Programme,,,Sean Doyle,"National University of Ireland, Maynooth (NUIM)","Self-protection against redox-active metabolites in the important human pathogen, Aspergillus fumigatus: A mechanistic investigation.",02/01/2012,10/31/2016,808817
11/PI/1198,SFI Principal Investigator Programme,,,Orla Feely,University College Dublin (UCD),"Nonlinear effects in circuits and systems –  analysis, control and applications",04/01/2012,3/31/2017,839453
11/PI/1201,SFI Principal Investigator Programme,,,Saibal Roy,Tyndall National Institute (TNI),Vibration based wideband electromagnetic micropower generators on silicon: MEMS to NEMS,04/01/2012,9/30/2017,1149468
11/PI/1206,SFI Principal Investigator Programme,,,Patrick Guiry,University College Dublin (UCD),Asymmetric Synthesis and Biological Evaluation of Lipoxin Analogues and Tetrahydrofuran Derivatives,04/01/2012,9/30/2018,1674540
12/IA/1239,SFI Investigator Programme,Investigator Award,,Amir Khan,Trinity College Dublin (TCD),Molecular Aspects of Immune Evasion and Subversion of Membrane Trafficking by Pathogens,07/01/2013,7/31/2019,1222915
12/IA/1255,SFI Investigator Programme,Investigator Award,,Martin Caffrey,Trinity College Dublin (TCD),Membrane Structural and Functional Biology: Tackling communicable and non-communicable diseases at the membrane level.,05/01/2013,4/30/2018,2486072
12/IP/1263,SFI Investigator Programme,Investigator Project,,Ken Duffy,"National University of Ireland, Maynooth (NUIM)",Quantitative analysis of immune cell fate: stochastic competition and censorship,04/01/2013,9/30/2017,229233
12/IA/1264,SFI Investigator Programme,Investigator Award,,Igor Shvets,Trinity College Dublin (TCD),Science of p-type transparent conducting oxides: materials towards transparent electronics,04/01/2013,3/31/2020,1931601
12/IA/1267,SFI Investigator Programme,Investigator Award,,Anding Zhu,University College Dublin (UCD),Green Power Amplifier Technologies for Future Wideband Reconfigurable Wireless Communication Systems (GrePATech),04/01/2013,3/31/2018,985206
12/IA/1270,SFI Investigator Programme,Investigator Award,,Paul Townsend,Tyndall National Institute (TNI),Next Generation Photonic Access and Data Communication Systems ,05/01/2013,4/30/2019,2575246
12/IP/1273,SFI Investigator Programme,Investigator Project,,Paula Colavita,Trinity College Dublin (TCD),Understanding lipid/carbon interactions for the rational design of biomaterials ,04/01/2013,10/31/2017,306268
12/IP/1275,SFI Investigator Programme,Investigator Project,,Fintan Kelleher,Technological University Dublin (TU Dublin),Implementation of Gold Quantitation Immuno-Electrochemistry (AURO-QUANT),04/01/2013,6/30/2018,347881
12/IP/1286,SFI Investigator Programme,Investigator Project,,David Finlay,Trinity College Dublin (TCD),Characterising the role of mammalian Target Of Rapamcyin Complex 1 (mTORC1)/Srebp1c signaling in directing the differentiation and function of T cell subsets.,04/01/2013,3/31/2017,261650
12/IP/1288,SFI Investigator Programme,Investigator Project,,Sheila McBreen,University College Dublin (UCD),Advances in gamma-ray Space Science using Silicon Photomultipliers,07/01/2013,7/31/2017,247581
12/IA/1294,SFI Investigator Programme,Investigator Award,,Leonie Young,Royal College of Surgeons in Ireland (RCSI),SRC-1 mediation of cancer cell reprogramming in endocrine resistant breast cancer,05/01/2013,9/30/2019,675446
12/IA/1300,SFI Investigator Programme,Investigator Award,,Yurii Gun'ko,Trinity College Dublin (TCD),Chiral inorganic nanomaterials,07/01/2013,12/31/2017,808173
12/IP/1305,SFI Investigator Programme,Investigator Project,,Darren Griffith,Royal College of Surgeons in Ireland (RCSI),Novel Strategy for Overcoming Chemoresistance and Toxicity Associated with Platinum Anti-cancer Compounds,04/01/2013,6/30/2017,191571
12/IA/1306,SFI Investigator Programme,Investigator Award,,Werner Blau,Trinity College Dublin (TCD),Systematic Bottom-Up Assembly of Nanocarbon Based Photonic Materials,03/01/2013,2/28/2018,597214
12/IP/1308,SFI Investigator Programme,Investigator Project,,Jens Carlsson,University College Dublin (UCD),Taxonomy and connectivity of animal species at the Moytirra hydrothermal vent field: developing methods for assessing ecological impacts of mineral extraction in the deep-sea ,04/01/2013,6/30/2015,188213
12/IP/1313,SFI Investigator Programme,Investigator Project,,Volker Rath,Dublin Institute for Advanced Studies (DIAS),IRECCSEM: Evaluating Ireland's potential for onshore carbon sequestration and storage using electromagnetics,04/01/2013,3/31/2017,278209
12/IP/1315,SFI Investigator Programme,Investigator Project,,Gerard McGlacken,University College Cork (UCC),"The Direct Arylation of Pyrones, Coumarins, Pyridones and Quinolones",04/01/2013,12/31/2017,377093
12/IP/1322,SFI Investigator Programme,Investigator Project,,Leigh Jones,"National University of Ireland, Galway (NUIG)",The Strategic Construction of Magnetic Coolant Materials,04/01/2013,12/31/2013,7493
12/IA/1335,SFI Investigator Programme,Investigator Award,,Pavel Baranov,University College Cork (UCC),Development of computational resources for the analysis of Genome Wide Information on Protein Synthesis (GWIPS).,04/01/2013,12/31/2017,1612534
12/IA/1343,SFI Investigator Programme,Investigator Award,,Geraldine Butler,University College Dublin (UCD),"Post-genomic analysis of biofilm and virulence characteristics of the pathogenic yeast, Candida parapsilosis.",07/01/2013,12/31/2018,1342237
12/IP/1351,SFI Investigator Programme,Investigator Project,,Jim Buckley,University of Limerick (UL),Establishing best practice in Software Architecture Consistency Processes,06/03/2013,06/02/2017,273270
12/IP/1359,SFI Investigator Programme,Investigator Project,,Gary Donohoe,Trinity College Dublin (TCD),Characterising the neural basis of social cognition deficits in schizophrenia using imaging genetics,04/01/2013,9/30/2016,283268
12/IP/1369,SFI Investigator Programme,Investigator Project,,Geraldine Boylan,University College Cork (UCC),Automated assessment of brain maturation in the preterm infant using EEG,04/01/2013,3/31/2016,145615
12/IA/1370,SFI Investigator Programme,Investigator Award,,Kevin Sullivan,"National University of Ireland, Galway (NUIG)",Structure and assembly of vertebrate kinetochore-associated chromatin,03/01/2013,12/31/2017,380672
12/IA/1381,SFI Investigator Programme,Investigator Award,,David Gregg,Trinity College Dublin (TCD),Data-centric ultra-low power embedded computing,04/01/2013,8/31/2020,474614
12/IP/1390,SFI Investigator Programme,Investigator Project,,Bernie Creaven,Technological University Dublin (TU Dublin),Novel Dual SOD/CAT mimics: New Therapeutic Strategy for Oxidative Stress Related Diseases?,04/01/2013,6/30/2018,203361
12/IA/1398,SFI Investigator Programme,Investigator Award,,Paul Murphy,"National University of Ireland, Galway (NUIG)",Glycoside & glycoconjugate synthesis through development and application of chelation induced anomerization,04/01/2013,3/31/2018,1009886
12/IP/1400,SFI Investigator Programme,Investigator Project,,Emma Creagh,Trinity College Dublin (TCD),Identification & Functional Characterisation of Novel Inflammatory Mediators.,09/02/2013,09/01/2018,209405
12/IP/1408,SFI Investigator Programme,Investigator Project,,Anne Marie Healy,Trinity College Dublin (TCD),Co-processing of active pharmaceutical ingredients with functional excipients to prevent unintentional generation of amorphous phase,04/01/2013,3/31/2017,187937
12/IA/1414,SFI Investigator Programme,Investigator Award,,Graeme Watson,Trinity College Dublin (TCD),Understanding the role of interfaces in solid oxide fuel cell efficiency: Optimising materials through predictive computer simulation,04/01/2013,3/31/2019,880321
12/IP/1420,SFI Investigator Programme,Investigator Project,,Mary Frances Heaney,"National University of Ireland, Maynooth (NUIM)","“Clickable” Azobenzenes, New Molecular Glues for Generation of Photoresponsive Biomolecular Scaffolds capable of Answering Biological Questions",04/01/2013,3/31/2018,219882
12/IA/1421,SFI Investigator Programme,Investigator Award,,Ed Lavelle,Trinity College Dublin (TCD),Modulation of innate and adaptive immunity by particulate adjuvants for improved parenteral and mucosal vaccination ,04/01/2013,2/29/2020,1797269
12/IA/1422,SFI Investigator Programme,Investigator Award,,Kenneth A. Dawson,University College Dublin (UCD),Biological Identity of Nanoparticles Dispersed in Biological Media,04/01/2013,11/30/2017,1771256
12/IP/1424,SFI Investigator Programme,Investigator Project,,Nial Friel,University College Dublin (UCD),Advances for the probabilistic analysis of network data,04/01/2013,9/30/2017,272173
12/IA/1449,SFI Investigator Programme,Investigator Award,,Suzi Jarvis,University College Dublin (UCD),Nanoscale aqueous-substrate interfaces,05/01/2013,6/30/2016,551358
12/IP/1459,SFI Investigator Programme,Investigator Project,,Garry Fleming,Trinity College Dublin (TCD),DENTAL glass-ionomer restoratives: Development of an Enhanced Novel Tailored Aesthetic Ligand based glass-ionomer restorative,04/01/2013,3/31/2017,215700
